Term (EN),Translation (IT),Part of Speech,Description,Domain
Incorporeal Enhancement,Potenziamento Incorporeo,noun,Spell (Necromanzia),Spells
Incorporeal Nova,Nova Incorporea,noun,Spell (Necromanzia),Spells
Infernal Threnody,Trenodia Infernale,noun,Spell (Invocazione),Spells
Infernal Wound,Ferita Infernale,noun,Spell (Trasmutazione),Spells
Infestation of Maggots,Infestazione di Vermi,noun,Spell (Necromanzia),Spells
Inflict Critical Wounds,Infliggi Ferite Critiche,noun,Spell (Necromanzia),Spells
"Inflict Critical Wounds, Mass",Infliggi Ferite Critiche di Massa,noun,Spell (Necromanzia),Spells
Inflict Light Wounds,Infliggi Ferite Leggere,noun,Spell (Necromanzia),Spells
"Inflict Light Wounds, Mass",Infliggi Ferite Leggere di Massa,noun,Spell (Necromanzia),Spells
Inflict Minor Wounds,Infliggi Ferite Minori,noun,Spell (Necromanzia),Spells
Inflict Moderate Wounds,Infliggi Ferite Moderate,noun,Spell (Necromanzia),Spells
"Inflict Moderate Wounds, Mass",Infliggi Ferite Moderate di Massa,noun,Spell (Necromanzia),Spells
Inflict Serious Wounds,Infliggi Ferite Gravi,noun,Spell (Necromanzia),Spells
"Inflict Serious Wounds, Mass",Infliggi Ferite Gravi di Massa,noun,Spell (Necromanzia),Spells
Inner Beauty,Bellezza Interiore,noun,Spell (Trasmutazione),Spells
Inquisition,Inquisizione,noun,Spell (Ammaliamento),Spells
Insanity,Demenza,noun,Spell (Ammaliamento),Spells
Insect Plague,Piaga degli Insetti,noun,Spell (Evocazione),Spells
Insidious Rhythm,Ritmo Insidioso,noun,Spell (Ammaliamento),Spells
Insightful Feint,Finta Intuitiva,noun,Spell (Divinazione),Spells
Insignia of Blessing,Distintivo di Benedizione,noun,Spell (Ammaliamento),Spells
Inspirational Boost,Rafforzare Ispirazione,noun,Spell (Ammaliamento),Spells
Inspired Aim,Mira Ispirata,noun,Spell (Ammaliamento),Spells
Instant Locksmith,Fabbro Istantaneo,noun,Spell (Divinazione),Spells
Instant Search,Ricerca Istantanea,noun,Spell (Divinazione),Spells
Instant Summons,Evocazioni Istantanee di Drawmij,noun,Spell (Evocazione),Spells
Internal Fire,Fuoco Interiore,noun,Spell (Invocazione),Spells
Interposing Hand,Mano Interposta di Bigby,noun,Spell (Invocazione),Spells
Invisibility,Invisibilità,noun,Spell (Illusione),Spells
Invisibility Purge,Epurare Invisibilità,noun,Spell (Invocazione),Spells
Invisibility Sphere,Sfera di Invisibilità,noun,Spell (Illusione),Spells
"Invisibility, Greater",Invisibilità Superiore,noun,Spell (Illusione),Spells
"Invisibility, Mass",Invisibilità di Massa,noun,Spell (Illusione),Spells
"Invisibility, Swift",Invisibilità Veloce,noun,Spell (Illusione),Spells
Invoke Magic,Invocare Magia,noun,Spell (Invocazione),Spells
Invoke the Cerulean Sign,Invocare il Segno Ceruleo,noun,Spell (Invocazione),Spells
Iron Body,Corpo di Ferro,noun,Spell (Trasmutazione),Spells
Iron Scarf,Sciarpa Ferrea,noun,Spell (Trasmutazione),Spells
Iron Silence,Silenzio di Ferro,noun,Spell (Trasmutazione),Spells
Ironwood,Legno di Ferro,noun,Spell (Trasmutazione),Spells
Irresistible Dance,Danza Irresistibile di Otto,noun,Spell (Ammaliamento),Spells
Joyful Noise,Suono Festoso,noun,Spell (Abiurazione),Spells
Keen Edge,Estremità Affilata,noun,Spell (Trasmutazione),Spells
Kiss of the Toad,Bacio del Rospo,noun,Spell (Necromanzia),Spells
Kiss of the Vampire,Bacio del Vampiro,noun,Spell (Necromanzia),Spells
Knock,Scassinare,noun,Spell (Trasmutazione),Spells
Know Direction,Conoscere Direzione,noun,Spell (Divinazione),Spells
Languor,Languore,noun,Spell (Trasmutazione),Spells
Lantern Light,Luce della Lanterna,noun,Spell (Invocazione),Spells
Last Breath,Ultimo Respiro,noun,Spell (Necromanzia),Spells
Last Judgment,Giudizio Finale,noun,Spell (Necromanzia),Spells
Lastai's Caress,Carezza di Lastai,noun,Spell (Ammaliamento),Spells
Lay of the Land,Configurazione del Terreno,noun,Spell (Divinazione),Spells
Legend Lore,Conoscenza delle Leggende,noun,Spell (Divinazione),Spells
Leomund's Hidden Lodge,Dimora Nascosa di Leomund,noun,Spell (Evocazione),Spells
Leomund's Trap,Trappola di Leomund,noun,Spell (Illusione),Spells
Leonal's Roar,Ruggito del Leonal,noun,Spell (Invocazione),Spells
Levitate,Levitazione,noun,Spell (Trasmutazione),Spells
Light of Lunia,Luce di Lunia,noun,Spell (Invocazione),Spells
Light of Mercuria,Luce di Mercuria,noun,Spell (Invocazione),Spells
Light of Venya,Luce di Venya,noun,Spell (Invocazione),Spells
Lightning Blade,Lama di Fulmini,noun,Spell (Invocazione),Spells
Lightning Bolt,Fulmine,noun,Spell (Invocazione),Spells
Limited Wish,Desiderio Limitato,noun,Spell (Universale),Spells
Lion's Roar,Ruggito del Leone,noun,Spell (Invocazione),Spells
Listening Coin,Moneta Senziente,noun,Spell (Divinazione),Spells
Listening Lorecall,Sapienza di Ascolto,noun,Spell (Divinazione),Spells
Liveoak,Querciaviva,noun,Spell (Trasmutazione),Spells
Locate City,Localizza Città,noun,Spell (Divinazione),Spells
Locate Creature,Localizza Creatura,noun,Spell (Divinazione),Spells
Locate Object,Localizza Oggetto,noun,Spell (Divinazione),Spells
Locate Touchstone,Localizza Piattaforma,noun,Spell (Divinazione),Spells
Longstrider,Passo Veloce,noun,Spell (Trasmutazione),Spells
Low-Light Vision,Visione Crepuscolare,noun,Spell (Trasmutazione),Spells
Lower Spell Resistance,Abbassare Resistenza agli Incantesimi,noun,Spell (Abiurazione),Spells
Lullaby,Ninna Nanna,noun,Spell (Ammaliamento),Spells
Luminous Armor,Armatura Luminosa,noun,Spell (Abiurazione),Spells
"Luminous Armor, Greater",Armatura Luminosa Superiore,noun,Spell (Abiurazione),Spells
Maddening Scream,Urlo di Follia,noun,Spell (Ammaliamento),Spells
Maddening Whispers,Sussurri della Pazzia,noun,Spell (Ammaliamento),Spells
Mage Armor,Armatura Magica,noun,Spell (Evocazione),Spells
"Mage Armor, Greater",Armatura Magica Superiore,noun,Spell (Evocazione),Spells
Mage Hand,Mano Magica,noun,Spell (Trasmutazione),Spells
Mage's Disjunction,Disgiunzione di Mordenkainen,noun,Spell (Abiurazione),Spells
Mage's Faithful Hound,Segugio Fedele di Mordenkainen,noun,Spell (Evocazione),Spells
Mage's Lucubration,Elucubrazione di Mordenkainen,noun,Spell (Trasmutazione),Spells
Mage's Magnificent Mansion,Reggia Meravigliosa di Mordenkainen,noun,Spell (Evocazione),Spells
Mage's Private Sanctum,Santuario Privato di Mordenkainen,noun,Spell (Abiurazione),Spells
Mage's Sword,Spada di Mordenkainen,noun,Spell (Invocazione),Spells
Magic Aura,Aura Magica di Nystul,noun,Spell (Illusione),Spells
Magic Circle Against Chaos,Cerchio Magico Contro il Caos,noun,Spell (Abiurazione),Spells
Magic Circle Against Evil,Cerchio Magico Contro il Male,noun,Spell (Abiurazione),Spells
Magic Circle Against Good,Cerchio Magico Contro il Bene,noun,Spell (Abiurazione),Spells
Magic Circle Against Law,Cerchio Magico Contro la Legge,noun,Spell (Abiurazione),Spells
Magic Fang,Zanna Magica,noun,Spell (Trasmutazione),Spells
"Magic Fang, Greater",Zanna Magica Superiore,noun,Spell (Trasmutazione),Spells
"Magic Fang, Superior",Zanna Magica Soverchiante,noun,Spell (Trasmutazione),Spells
Magic Jar,Giara Magica,noun,Spell (Necromanzia),Spells
Magic Missile,Dardo Incantato,noun,Spell (Invocazione),Spells
Magic Mouth,Bocca Magica,noun,Spell (Illusione),Spells
Magic Stone,Pietra Magica,noun,Spell (Trasmutazione),Spells
Magic Vestment,Veste Magica,noun,Spell (Trasmutazione),Spells
Magic Weapon,Arma Magica,noun,Spell (Trasmutazione),Spells
"Magic Weapon, Greater",Arma Magica Superiore,noun,Spell (Trasmutazione),Spells
Magnetism,Magnetismo,noun,Spell (Trasmutazione),Spells
Major Creation,Creazione Maggiore,noun,Spell (Evocazione),Spells
Major Image,Immagine Maggiore,noun,Spell (Illusione),Spells
Make Whole,Rendere Integro,noun,Spell (Trasmutazione),Spells
Manifest Desire,Manifestare Desiderio,noun,Spell (Illusione),Spells
Manifest Nightmare,Manifestare Incubo,noun,Spell (Illusione),Spells
Mantle of Chaos,Manto del Caos,noun,Spell (Abiurazione),Spells
Mantle of Evil,Manto del Male,noun,Spell (Abiurazione),Spells
Mantle of Good,Manto del Bene,noun,Spell (Abiurazione),Spells
Mantle of Law,Manto della Legge,noun,Spell (Abiurazione),Spells
Mantle of Pure Spite,Manto di Puro Rancore,noun,Spell (Necromanzia),Spells
Mark of Justice,Sigillo di Giustizia,noun,Spell (Necromanzia),Spells
Mark of the Hunter,Marchio del Cacciatore,noun,Spell (Divinazione),Spells
Master's Lament,Lamento del Padrone,noun,Spell (Trasmutazione),Spells
Master's Touch,Tocco del Padrone,noun,Spell (Divinazione),Spells
Maze,Labirinto,noun,Spell (Evocazione),Spells
Mechanus Mind,Mente di Mechanus,noun,Spell (Ammaliamento),Spells
Meld Into Stone,Fondersi nella Pietra,noun,Spell (Trasmutazione),Spells
Melt,Sciogliere,noun,Spell (Invocazione),Spells
Mending,Riparare,noun,Spell (Trasmutazione),Spells
Mesmerizing Glare,Sguardo Mesmerico,noun,Spell (Ammaliamento),Spells
Message,Messaggio,noun,Spell (Trasmutazione),Spells
Metal Skin,Pelle Metallica,noun,Spell (Trasmutazione),Spells
Meteor Swarm,Sciame di Meteore,noun,Spell (Invocazione),Spells
Miasma of Entropy,Miasma dell'Entropia,noun,Spell (Necromanzia),Spells
Mind Blank,Vuoto Mentale,noun,Spell (Abiurazione),Spells
Mind Bond,Legame Mentale,noun,Spell (Divinazione),Spells
Mind Fog,Nebbia Mentale,noun,Spell (Ammaliamento),Spells
Mindless Rage,Ira Dissennata,noun,Spell (Ammaliamento),Spells
Minor Creation,Creazione Minore,noun,Spell (Evocazione),Spells
Minor Image,Immagine Minore,noun,Spell (Illusione),Spells
Minute Form,Forma Minuta,noun,Spell (Trasmutazione),Spells
Miracle,Miracolo,noun,Spell (Invocazione),Spells
Mirage Arcana,Miraggio Arcano,noun,Spell (Illusione),Spells
Mirror Image,Immagine Speculare,noun,Spell (Illusione),Spells
Misdirection,Dissimulare,noun,Spell (Illusione),Spells
Miser's Envy,Invidia dell'Avaro,noun,Spell (Ammaliamento),Spells
Mislead,Fuorviare,noun,Spell (Illusione),Spells
Mnemonic Enhancer,Potenziatore Mnemonico di Rary,noun,Spell (Trasmutazione),Spells
Modify Memory,Modificare Memoria,noun,Spell (Ammaliamento),Spells
Moment of Clarity,Momento di Purezza,noun,Spell (Abiurazione),Spells
Moment of Prescience,Momento di Prescienza,noun,Spell (Divinazione),Spells
Monstrous Thrall,Servitore Mostruoso,noun,Spell (Ammaliamento),Spells
Morality Undone,Moralità Annientata,noun,Spell (Ammaliamento),Spells
Mount,Cavalcatura,noun,Spell (Evocazione),Spells
Move Earth,Muovere il Terreno,noun,Spell (Trasmutazione),Spells
Murderous Mist,Foschia Omicida,noun,Spell (Invocazione),Spells
Nature's Avatar,Avatar della Natura,noun,Spell (Invocazione),Spells
Nature's Favor,Favore della Natura,noun,Spell (Invocazione),Spells
Nature's Purity,Purezza della Natura,noun,Spell (Invocazione),Spells
Naturewatch,Visione della Natura,noun,Spell (Necromanzia),Spells
Necrotic Awareness,Consapevolezza Necrotica,noun,Spell (Necromanzia),Spells
Necrotic Bloat,Rigonfiamento Necrotico,noun,Spell (Necromanzia),Spells
Necrotic Burst,Esplosione Necrotica,noun,Spell (Necromanzia),Spells
Necrotic Cyst,Ciste Necrotica,noun,Spell (Necromanzia),Spells
Necrotic Domination,Dominazione Necrotica,noun,Spell (Necromanzia),Spells
Necrotic Empowerment,Potenziamento Necrotico,noun,Spell (Necromanzia),Spells
Necrotic Eruption,Eruzione Necrotica,noun,Spell (Necromanzia),Spells
Necrotic Scrying,Scrutare Necrotico,noun,Spell (Necromanzia),Spells
Necrotic Termination,Terminazione Necrotica,noun,Spell (Necromanzia),Spells
Necrotic Tumor,Ossessione Necrotica,noun,Spell (Necromanzia),Spells
Negative Energy Aura,Aura di Energia Negativa,noun,Spell (Necromanzia),Spells
Neutralize Poison,Neutralizza Veleno,noun,Spell (Evocazione),Spells
Night's Caress,Carezza della Notte,noun,Spell (Necromanzia),Spells
Nightmare,Incubo,noun,Spell (Illusione),Spells
Nightstalker's Transformation,Trasformazione del Predatore Notturno,noun,Spell (Trasmutazione),Spells
Nimbus of Light,Alone di Luce,noun,Spell (Invocazione),Spells
Nondetection,Anti-Individuazione,noun,Spell (Abiurazione),Spells
Oath of Blood,Giuramento di Sangue,noun,Spell (Necromanzia),Spells
Obedient Avalanche,Valanga Obbediente,noun,Spell (Evocazione),Spells
Obscure Object,Occultare Oggetto,noun,Spell (Abiurazione),Spells
Obscuring Mist,Foschia Occultante,noun,Spell (Evocazione),Spells
Omen of Peril,Preavviso di Pericolo,noun,Spell (Divinazione),Spells
Oozepuppet,Pupazzo di Melma,noun,Spell (Trasmutazione),Spells
Opalescent Glare,Sguardo Opalescente,noun,Spell (Necromanzia),Spells
Open/Close,Aprire/Chiudere,noun,Spell (Trasmutazione),Spells
Orb of Acid,Globo di Acido,noun,Spell (Evocazione),Spells
"Orb of Acid, Lesser",Globo di Acido Inferiore,noun,Spell (Evocazione),Spells
Orb of Cold,Globo di Freddo,noun,Spell (Evocazione),Spells
"Orb of Cold, Lesser",Globo di Freddo Inferiore,noun,Spell (Evocazione),Spells
Orb of Electricity,Globo di Elettricità,noun,Spell (Evocazione),Spells
"Orb of Electricity, Lesser",Globo di Elettricità Inferiore,noun,Spell (Evocazione),Spells
Orb of Fire,Globo di Fuoco,noun,Spell (Evocazione),Spells
"Orb of Fire, Lesser",Globo di Fuoco Inferiore,noun,Spell (Evocazione),Spells
Orb of Force,Globo di Forza,noun,Spell (Evocazione),Spells
Orb of Sound,Globo di Suono,noun,Spell (Evocazione),Spells
"Orb of Sound, Lesser",Globo di Suono Inferiore,noun,Spell (Evocazione),Spells
Order’s Wrath,Ira dell'Ordine,noun,Spell (Invocazione),Spells
Otyugh Swarm,Sciame di Otyugh,noun,Spell (Evocazione),Spells
Overland Flight,Volo Giornaliero,noun,Spell (Trasmutazione),Spells
Owl’s Wisdom,Saggezza del Gufo,noun,Spell (Trasmutazione),Spells
"Owl’s Wisdom, Mass",Saggezza del Gufo di Massa,noun,Spell (Trasmutazione),Spells
Pact of Return,Patto di Ritorno,noun,Spell (Necromanzia),Spells
Pain,Dolore,noun,Spell (Necromanzia),Spells
Pass Without Trace,Passare Senza Tracce,noun,Spell (Trasmutazione),Spells
Passwall,Passapareti,noun,Spell (Trasmutazione),Spells
Path of the Exalted,Sentiero degli Eroi,noun,Spell (Divinazione),Spells
Pavilion of Grandeur,Padiglione della Magnificenza,noun,Spell (Evocazione),Spells
Perinarch,Perinarca,noun,Spell (Trasmutazione),Spells
"Perinarch, Planar",Perinarca Planare,noun,Spell (Trasmutazione),Spells
Permanency,Permanenza,noun,Spell (Universale),Spells
Permanent Image,Immagine Permanente,noun,Spell (Illusione),Spells
Permeable Form,Forma Permeabile,noun,Spell (Trasmutazione),Spells
Persistent Image,Immagine Persistente,noun,Spell (Illusione),Spells
Phantasmal Assailants,Allucinazione Assillante,noun,Spell (Illusione),Spells
Phantasmal Decoy,Allucinazione Traviante,noun,Spell (Illusione),Spells
Phantasmal Disorientation,Disorientamento Spettrale,noun,Spell (Illusione),Spells
Phantasmal Killer,Allucinazione Mortale,noun,Spell (Illusione),Spells
Phantasmal Thief,Allucinazione Furfantesca,noun,Spell (Evocazione),Spells
Phantom Bear,Orso Fantomatico,noun,Spell (Evocazione),Spells
Phantom Guardians,Guardiani Fantomatici,noun,Spell (Illusione),Spells
Phantom Stag,Cervo Fantomatico,noun,Spell (Evocazione),Spells
Phantom Steed,Destriero Fantomatico,noun,Spell (Evocazione),Spells
Phantom Threat,Minaccia Fantomatica,noun,Spell (Illusione),Spells
Phantom Wolf,Lupo Fantomatico,noun,Spell (Evocazione),Spells
Phase Door,Porta in Fase,noun,Spell (Evocazione),Spells
Phieran's Resolve,Risolutezza di Phirean,noun,Spell (Abiurazione),Spells
Phoenix Fire,Fuoco della Fenice,noun,Spell (Necromanzia),Spells
Plague of Rats,Piaga dei Topi,noun,Spell (Evocazione),Spells
Plague of Undead,Piaga dei Non Morti,noun,Spell (Necromanzia),Spells
Planar Ally,Alleato Planare,noun,Spell (Evocazione),Spells
"Planar Ally, Greater",Alleato Planare Superiore,noun,Spell (Evocazione),Spells
"Planar Ally, Lesser",Alleato Planare Inferiore,noun,Spell (Evocazione),Spells
Planar Binding,Legame Planare,noun,Spell (Evocazione),Spells
"Planar Binding, Greater",Legame Planare Superiore,noun,Spell (Evocazione),Spells
"Planar Binding, Lesser",Legame Planare Inferiore,noun,Spell (Evocazione),Spells
Planar Bubble,Bolla Planare,noun,Spell (Abiurazione),Spells
Planar Exchange,Scambio Planare,noun,Spell (Evocazione),Spells
"Planar Exchange, Greater",Scambio Planare Superiore,noun,Spell (Evocazione),Spells
"Planar Exchange, Lesser",Scambio Planare Inferiore,noun,Spell (Evocazione),Spells
Planar Tolerance,Tolleranza Planare,noun,Spell,Spells
Plane Shift,Spostamento Planare,noun,Spell (Evocazione),Spells
Plant Growth,Crescita Vegetale,noun,Spell (Trasmutazione),Spells
Poison,Veleno,noun,Spell (Necromanzia),Spells
Poison Needles,Aghi Avvelenati,noun,Spell (Trasmutazione),Spells
Poison Thorns,Spine Velenose,noun,Spell (Trasmutazione),Spells
Poison Vines,Rampicanti Velenosi,noun,Spell (Evocazione),Spells
Polar Ray,Raggio Polare,noun,Spell (Invocazione),Spells
Polymorph,Metamorfosi,noun,Spell (Trasmutazione),Spells
Polymorph Any Object,Metamorfosi di un Oggetto,noun,Spell (Trasmutazione),Spells
Positive Energy Aura,Aura di Energia Positiva,noun,Spell (Evocazione),Spells
Power Word Blind,"Parola del Potere, Accecare",noun,Spell (Ammaliamento),Spells
Power Word Kill,"Parola del Potere, Uccidere",noun,Spell (Ammaliamento),Spells
Power Word Stun,"Parola del Potere, Stordire",noun,Spell (Ammaliamento),Spells
Pox,Pustole,noun,Spell (Necromanzia),Spells
Prayer,Preghiera,noun,Spell (Ammaliamento),Spells
Precipitate Breach,Schiudere il Varco,noun,Spell (Evocazione),Spells
Precipitate Complete Breach,Schiudere il Varco Completo,noun,Spell (Evocazione),Spells
Prestidigitation,Prestidigitazione,noun,Spell (Universale),Spells
Prismatic Ray,Raggio Prismatico,noun,Spell (Invocazione),Spells
Prismatic Sphere,Sfera Prismatica,noun,Spell (Abiurazione),Spells
Prismatic Spray,Spruzzo Prismatico,noun,Spell (Invocazione),Spells
Prismatic Wall,Muro Prismatico,noun,Spell (Abiurazione),Spells
Probe Thoughts,Sonda Pensieri,noun,Spell (Divinazione),Spells
Produce Flame,Produrre Fiamma,noun,Spell (Invocazione),Spells
Programmed Amnesia,Amnesia Programmata,noun,Spell (Ammaliamento),Spells
Programmed Image,Immagine Programmata,noun,Spell (Illusione),Spells
Project Image,Immagine Proiettata,noun,Spell (Illusione),Spells
Pronouncement of Fate,Proclama del Fato,noun,Spell (Necromanzia),Spells
Protection From Arrows,Protezione dalle Frecce,noun,Spell (Abiurazione),Spells
Protection From Chaos,Protezione dal Caos,noun,Spell (Abiurazione),Spells
Protection from Charm,Protezione dallo Charme,noun,Spell (Abiurazione),Spells
Protection From Energy,Protezione dall'Energia,noun,Spell (Abiurazione),Spells
Protection From Evil,Protezione dal Male,noun,Spell (Abiurazione),Spells
Protection From Good,Protezione dal Bene,noun,Spell (Abiurazione),Spells
Protection From Law,Protezione dalla Legge,noun,Spell (Abiurazione),Spells
Protection from Negative Energy,Protezione dall'Energia Negativa,noun,Spell (Abiurazione),Spells
Protection From Spells,Protezione dagli Incantesimi,noun,Spell (Abiurazione),Spells
Proud Arrogance,Superba Arroganza,noun,Spell (Ammaliamento),Spells
Prying Eyes,Occhi Indagatori,noun,Spell (Divinazione),Spells
"Prying Eyes, Greater",Occhi Indagatori Superiore,noun,Spell (Divinazione),Spells
Purify Food and Drink,Purificare Cibo e Bevande,noun,Spell (Universale),Spells
Pyrotechnics,Pirotecnica,noun,Spell (Trasmutazione),Spells
Quench,Estinguere Fuoco,noun,Spell (Trasmutazione),Spells
Quickshift,Spostamento Rapido,noun,Spell (Trasmutazione),Spells
Quill Blast,Deflagrazione di Aculei,noun,Spell (Evocazione),Spells
Radiant Fog,Nebbia Radiosa,noun,Spell (Evocazione),Spells
Radiant Shield,Scudo Radioso,noun,Spell (Invocazione),Spells
Rage,Ira,noun,Spell (Ammaliamento),Spells
Rain of Black Tulips,Pioggia di Tulipani Neri,noun,Spell (Invocazione),Spells
Rain of Embers,Pioggia di Brace,noun,Spell (Invocazione),Spells
Rain of Needles,Pioggia di Aghi,noun,Spell (Trasmutazione),Spells
Rain of Roses,Pioggia di Rose,noun,Spell (Invocazione),Spells
Rainbow Pattern,Trama Iridescente,noun,Spell (Illusione),Spells
Raise Dead,Rianimare Morti,noun,Spell (Evocazione),Spells
Rary's Interplanar Telepathic Bond,Legame Telepatico Interplanare di Rary,noun,Spell (Divinazione),Spells
Ray of Enfeeblement,Raggio di Indebolimento,noun,Spell (Necromanzia),Spells
Ray of Exhaustion,Raggio di Esaurimento,noun,Spell (Necromanzia),Spells
Ray of Frost,Raggio di Gelo,noun,Spell (Invocazione),Spells
Ray of Hope,Raggio di Speranza,noun,Spell (Ammaliamento),Spells
Razorfangs,Rasoi Taglienti,noun,Spell (Trasmutazione),Spells
Read Magic,Lettura del Magico,noun,Spell (Divinazione),Spells
Reanimation,Rianimazione,noun,Spell (Evocazione),Spells
Reaving Dispel,Dissoluzione Privante,noun,Spell (Abiurazione),Spells
Rebuking Breath,Soffio Intimorente,noun,Spell (Necromanzia),Spells
Reciprocal Gyre,Controreazione,noun,Spell (Abiurazione),Spells
Recitation,Recitazione,noun,Spell (Evocazione),Spells
Reduce Animal,Ridurre Animali,noun,Spell (Trasmutazione),Spells
Reduce Person,Ridurre Persone,noun,Spell (Trasmutazione),Spells
"Reduce Person, Mass",Ridurre Persone di Massa,noun,Spell (Trasmutazione),Spells
Refreshment,Rinfrescare,noun,Spell (Evocazione),Spells
Refuge,Rifugio,noun,Spell (Trasmutazione),Spells
Refusal,Diniego,noun,Spell (Abiurazione),Spells
Regenerate,Rigenerazione,noun,Spell (Evocazione),Spells
Reincarnate,Reincarnazione,noun,Spell (Trasmutazione),Spells
Rejuvenation Cocoon,Bozzolo di Rinvigorimento,noun,Spell (Evocazione),Spells
Remove Addiction,Rimuovi Dipendenza,noun,Spell (Evocazione),Spells
Remove Blindness/Deafness,Rimuovi Cecità/Sordità,noun,Spell (Evocazione),Spells
Remove Curse,Rimuovi Maledizione,noun,Spell (Abiurazione),Spells
Remove Disease,Rimuovi Malattia,noun,Spell (Evocazione),Spells
Remove Fatigue,Rimuovi Affaticamento,noun,Spell (Trasmutazione),Spells
Remove Fear,Rimuovi Paura,noun,Spell (Abiurazione),Spells
Remove Nausea,Rimuovi Nausea,noun,Spell (Evocazione),Spells
Remove Paralysis,Rimuovi Paralisi,noun,Spell (Evocazione),Spells
Renewal Pact,Patto di Rinnovamento,noun,Spell (Evocazione),Spells
Repair Critical Damage,Ripara Danni Critici,noun,Spell (Trasmutazione),Spells
Repair Light Damage,Ripara Danni Leggeri,noun,Spell (Trasmutazione),Spells
Repair Minor Damage,Ripara Danni Minori,noun,Spell (Trasmutazione),Spells
Repair Moderate Damage,Ripara Danni Moderati,noun,Spell (Trasmutazione),Spells
Repair Serious Damage,Ripara Danni Gravi,noun,Spell (Trasmutazione),Spells
Repel Metal or Stone,Respingere Metallo o Pietra,noun,Spell (Abiurazione),Spells
Repel Vermin,Respingere Parassiti,noun,Spell (Abiurazione),Spells
Repel Wood,Respingere Legno,noun,Spell (Trasmutazione),Spells
Repulsion,Repulsione,noun,Spell (Abiurazione),Spells
Resilient Sphere,Sfera Elastica di Otiluke,noun,Spell (Invocazione),Spells
Resist Energy,Resistere all'Energia,noun,Spell (Abiurazione),Spells
"Resist Energy, Mass",Resistere all'Energia di Massa,noun,Spell (Abiurazione),Spells
Resist Planar Alignment,Resistere all'Allineamento Planare,noun,Spell (Abiurazione),Spells
Resist Taint,Resistere alla Corruzione,noun,Spell (Abiurazione),Spells
Resistance,Resistenza,noun,Spell (Abiurazione),Spells
Resonating Bolt,Fulmine Risonante,noun,Spell (Invocazione),Spells
Restful Slumber,Sonno Ristoratore,noun,Spell (Ammaliamento),Spells
Restoration,Ristorare,noun,Spell (Evocazione),Spells
"Restoration, Greater",Ristorare Superiore,noun,Spell (Evocazione),Spells
"Restoration, Lesser",Ristorare Inferiore,noun,Spell (Evocazione),Spells
"Restoration, Mass",Ristorare di Massa,noun,Spell (Evocazione),Spells
Restore Soul's Treasure,Ripristinare il Tesoro dell'Anima,noun,Spell (Trasmutazione),Spells
Resurgence,Ripristino,noun,Spell (Abiurazione),Spells
"Resurgence, Mass",Ripristino di Massa,noun,Spell (Abiurazione),Spells
Resurrection,Resurrezione,noun,Spell (Evocazione),Spells
Revenance,Redivivo,noun,Spell (Evocazione),Spells
Reverse Gravity,Inversione della Gravità,noun,Spell (Trasmutazione),Spells
Revive Undead,Rianimare Non Morti,noun,Spell (Necromanzia),Spells
Righteous Glare,Giusto Sguardo,noun,Spell (Necromanzia),Spells
Righteous Might,Giusto Potere,noun,Spell (Trasmutazione),Spells
Righteous Smite,Giusta Punizione,noun,Spell (Invocazione),Spells
Righteous Wrath of the Faithful,Giusta Ira dei Fedeli,noun,Spell (Ammaliamento),Spells
Ring of Blades,Anello di Lame,noun,Spell (Evocazione),Spells
Rooftop Strider,Andatura sui Tetti,noun,Spell (Trasmutazione),Spells
Rope Trick,Trucco della Corda,noun,Spell (Trasmutazione),Spells
Rusting Grasp,Stretta Corrosiva,noun,Spell (Trasmutazione),Spells
Sacred Guardian,Guardiano Sacro,noun,Spell (Divinazione),Spells
Sacred Haven,Rifugio Sacro,noun,Spell (Abiurazione),Spells
Sanctify the Wicked,Santificare i Perversi,noun,Spell (Necromanzia),Spells
Sanctuary,Santuario,noun,Spell (Abiurazione),Spells
Sandblast,Sabbie Brucianti,noun,Spell (Invocazione),Spells
Scale Weakening,Indebolire Scaglie,noun,Spell (Trasmutazione),Spells
Scales of the Lizard,Scaglie della Lucertola,noun,Spell (Trasmutazione),Spells
Scare,Spaventare,noun,Spell (Necromanzia),Spells
Scent,Olfatto Acuto,noun,Spell (Trasmutazione),Spells
Scholar's Touch,Tocco dello Studioso,noun,Spell (Divinazione),Spells
Scintillating Pattern,Trama Scintillante,noun,Spell (Illusione),Spells
Scintillating Scales,Scaglie Scintillanti,noun,Spell (Abiurazione),Spells
Scorching Ray,Raggio Rovente,noun,Spell (Invocazione),Spells
Scourge,Flagello,noun,Spell (Necromanzia),Spells
Screen,Schermo,noun,Spell (Illusione),Spells
"Scrying, Greater",Scrutare Superiore,noun,Spell (Divinazione),Spells
Sculpt Sound,Modellare Suono,noun,Spell (Trasmutazione),Spells
Seal Portal,Sigillare Portale,noun,Spell (Abiurazione),Spells
Searing Light,Luce Incandescente,noun,Spell (Invocazione),Spells
Second Wind,Assecondare il Vento,noun,Spell (Trasmutazione),Spells
Secret Chest,Scrigno Segreto di Leomund,noun,Spell (Evocazione),Spells
Secret Page,Pagina Segreta,noun,Spell (Trasmutazione),Spells
Secret Signs,Segnali Segreti,noun,Spell (Ammaliamento),Spells
Secure Corpse,Cadavere Sicuro,noun,Spell (Necromanzia),Spells
Secure Shelter,Riparo Sicuro di Leomund,noun,Spell (Evocazione),Spells
